Company Name,Summary
Access Communications,"Access Communications is a Canadian telecommunications service provider operating in over 235 communities in Saskatchewan. Headquartered in Regina, the co-operative provides internet, cable television, telephone and security services to residential and business customers. Its primary competitor is S"
Ache Records,"Ache Records is an independent record label based in Vancouver, British Columbia, Canada. It was started by the musician Andy Dixon around 1999. Ache releases music for both Canadian and foreign acts. The first release on Ache Records was Hot Hot Heat's release, Hot Hot Heat (1999), a four-song EP. "
Addition Elle,"Addition Elle was a Canadian clothing store chain that sold plus-size clothing. It was established in Montreal and sold to Reitmans in 2001.  It closed all 74 Canadian locations Aug 15, 2021.  Addition Elle clothing line can now be found at sister store, Penningtons."
Advanced Cyclotron Systems,"Advanced Cyclotron Systems, Inc. (ACSI) is a company based in Richmond, British Columbia, Canada that supplies and services cyclotrons predominately used for the production of  medical isotopes by hospitals for nuclear medicine.  The company was a spin-off of the research program at TRIUMF.  The mac"
Affinity Credit Union,"Affinity Credit Union is a financial institution headquartered in Saskatoon, Saskatchewan, Canada, with headquarters in the city of Saskatoon. As of August 2019, Affinity operates 56 branches in 47 communities across Saskatchewan. It is the second-largest credit union in Saskatchewan and the eighth-"
AHED,"AHED (formally AHED Music Corporation, Ltd.) was a Canadian company owned by Phil G. Anderson[1] that produced guitar amplifiers, as well as guitars. Its main product line was the GBX amplifier, which could reach 180 watts with 4x10"", 4x12"" or 2x15"" speakers. The GBX amplifier had a pre-amplifier th"
Air Canada,"Air Canada is the flag carrier and the largest airline of Canada by fleet size and passengers carried. Air Canada maintains its headquarters in the borough of Saint-Laurent, Montreal, Quebec. The airline, founded in 1937, provides scheduled and charter air transport for passengers and cargo to 222 d"
Air Miles,"The Air Miles Reward Program is a group of separately operated loyalty programs owned and operated by LoyaltyOne. The programs are available in Canada, the Netherlands and the Middle East. Points are earned on purchases at participating merchants and can be redeemed against flights with specific air"
Aldo Group,"The ALDO Group  branded as ALDO, is a Canadian multinational corporation retailer that owns and operates a worldwide chain of shoe and accessories stores. The company was founded by Aldo Bensadoun in Montreal, Quebec, in 1972, where its corporate headquarters based in the Montreal borough of Saint-L"
AldrichPears Associates,"AldrichPears Associates is an interpretive planning and exhibit design firm based in Vancouver, British Columbia, Canada. They work for museums, science centers, interpretive centers, zoos, aquariums, botanical gardens, and children's museums around the world. 
AldrichPears Associates is best known "
Algonquin Power & Utilities,"Algonquin Power & Utilities Corp. is a Canadian renewable energy and regulated utility conglomerate with assets across North America. Algonquin actively invests in hydroelectric, wind and solar power facilities, and utility businesses (water, natural gas, electricity), through its three operating su"
Allied Shipbuilders,Allied Shipbuilders Ltd is a privately held shipbuilding and ship repairing company established in Canada in 1948.
Alta Newspaper Group,"Alta Newspaper Group Limited Partnership is a Vancouver-based publisher of newspapers in Western Canada and Quebec. It owns three small daily newspapers and more than a dozen weeklies.
Alta, also known as Alberta Newspaper Group and Southern Alberta Newspapers, is one of two Canadian newspaper compa"
Alterra Power,"Alterra Power Corp. a subsidiary of Innergex Renewable Energy Inc., is a diversified renewable power generation company based in Vancouver, British Columbia, Canada.  It was formed in 2011 through the merger of Magma Energy Corp. and Plutonic Power Corp.  It develops, owns, acquires and operates hyd"
Angoss,"Angoss Software Corporation, headquartered in Toronto, Ontario, Canada, with offices in the United States and UK, acquired by Datawatch and now owned by Altair, was a provider of predictive analytics systems through software licensing and services. Angoss' customers represent industries including fi"
Apotex,"Apotex Inc. is a Canadian pharmaceutical corporation. Founded in 1974 by Barry Sherman, the company is the largest producer of generic drugs in Canada, with annual sales exceeding CA$1 billion. By 2016, Apotex employed over 10,000 people as one of Canada's largest drug manufacturers, with over 300 p"
Appnovation,"Appnovation is a global, full service digital consultancy firm with headquarters in Canada, specializing in web, intranet and mobile application development using open technologies  including Drupal and Alfresco, HTML5 frameworks like SproutCore and PhoneGap, as well as middleware, Big Data and busi"
Arc'teryx,"Arc'teryx (stylized as ΛRC'TERYX) is a design company that sells outdoor clothing and climbing gear. The headquarters and design centre are located in North Vancouver, with a local manufacturing facility called  ""ARC’One"", located in New Westminster. There are overseas teams located in Munich, Shang"
Areva Resources Canada,"Orano Canada (formerly AREVA Resources Canada Inc.) is a uranium mining, milling, and exploration company headquartered in Saskatoon, Saskatchewan, Canada. Orano is a subsidiary of the Orano Group, an international nuclear energy company headquartered in Paris, France with 16,000 employees worldwide"
Aritzia,"Aritzia Inc. is a Canadian women's fashion brand founded in Vancouver, British Columbia, by Brian Hill in 1984. Aritzia sells a variety of lifestyle apparel through various upscale retail stores across Canada and the United States and online."
Army & Navy Stores,"Army & Navy or Army and Navy may refer to:

Army & Navy Stores (Canada), a department store in Vancouver and department store group in Canada
Army & Navy Stores (United Kingdom), a department store in Victoria, London and department store group in the United Kingdom
Army & Navy sweets, a type of Bri"
Arsenal Pulp Press,"Arsenal Pulp Press is a Canadian independent book publishing company, based in Vancouver, British Columbia. The company publishes a broad range of titles in both fiction and non-fiction, focusing primarily on underrepresented genres such as underground literature, LGBT literature, multiracial litera"
ATB Financial,"ATB Financial is a financial institution and Crown corporation wholly owned by the province of Alberta. Originally established as Alberta Treasury Branches in 1938, ATB Financial operates only in Alberta and provides financial services to over 800,000 Alberta residents and businesses. Headquartered "
ATI Technologies,"ATI Technologies Inc. (commonly called ATI) was a Canadian semiconductor technology corporation based in Markham, Ontario, that specialized in the development of graphics processing units and chipsets. Founded in 1985 as Array Technology Inc., the company listed publicly in 1993. Advanced Micro Devi"
Atmosphere Visual Effects,"Atmosphere Visual Effects is a Canadian visual effects company. It was founded in Vancouver in 2003 by Andrew Karr, Tom Archer, and Jeremy Hoey, ex-employees of Vancouver-based visual effects company GVFX, after said company folded in that year. They have worked on a number of science fiction shows,"
Ballard Power Systems,"Ballard Power Systems Inc. is a developer and manufacturer of proton exchange membrane (PEM) fuel cell products for markets such as heavy-duty motive (consisting of bus and tram applications), portable power, material handling as well as engineering services. Ballard has designed and shipped over 40"
Banff Lodging Co,Banff Lodging Company is  a locally owned and operated hospitality company in the Banff National Park.
Bank of Montreal,"The Bank of Montreal (BMO; French: Banque de Montréal) is a Canadian multinational investment bank and financial services company.
The bank was founded in Montreal, Quebec, in 1817 as Montreal Bank; while its head office remains in Montreal, the operational headquarters and executive offices have be"
Bard Ventures,"Bard Ventures Ltd. (TSX-V: CBS) was a Canadian mining and exploration company headquartered in Vancouver. The company conducted exploratory drilling to assess mineral rights within the Lone Pine Molybdenum Property outside of Houston, British Columbia, specifically focusing on molybdenum. The compan"
Barrick Gold,"Barrick Gold Corporation is a mining company that produces gold and copper with 16 operating sites in 13 countries. It is headquartered in Toronto, Ontario, Canada. It has mining operations in Argentina, Canada, Chile, Côte d'Ivoire, Democratic Republic of the Congo, Dominican Republic, Mali, Papua "
BBC Kids,"BBC Kids is the international children's brand of BBC Studios (formerly BBC Worldwide), and has been applied to a number of TV channels. It draws from the long history of children's programming on the BBC, and is strongly related to the current channels CBBC and CBeebies in the United Kingdom."
BC Hydro,"The British Columbia Hydro and Power Authority, operating as BC Hydro, is a Canadian electric utility in the province of British Columbia. It is the main electricity distributor, serving 1.8 million customers in most areas, with the exception of the City of New Westminster, where the city runs its o"
BC Research,"BC Research Inc. is a privately owned Canadian process technology incubator, specializing in custom research, process development and technology commercialization. Headquartered in downtown Vancouver, British Columbia, BC Research operates primarily from their ""Technology Commercialization and Innov"
Becker's,"Becker's is a Canadian chain of independent convenience stores selling products of Alimentation Couche-Tard company. The original Becker Milk Company was founded in 1957 in Toronto, Ontario. The chain grew from 5 to 500 stores and was sold in 2006 to Alimentation Couche-Tard. The company converted t"
Bell Canada,"Bell Canada (commonly referred to as Bell) is a Canadian telecommunications company headquartered at 1 Carrefour Alexander-Graham-Bell in the borough of Verdun in Montreal, Quebec, Canada. It is an ILEC (incumbent local exchange carrier) in the provinces of Ontario and Quebec; as such, it was a foun"
Bell MTS,"Bell MTS Inc. (formerly Manitoba Telecom Services) is a subsidiary of BCE Inc. that operates telecommunications services in Manitoba. Bell MTS is the naming rights holder of a venue in Winnipeg, the Bell MTS Iceplex.
Originally established as Manitoba Government Telephones after the Government of Ma"
Ben Moss Jewellers,Ben Moss Jewellers is a Canadian jewellery store company.
Bennett Environmental,"Bennett Environmental Inc. was a company based in Oakville, Ontario, Canada.  It specialized in the recovering of soils contaminated with chlorinated hydrocarbons, including PCBs and PCPs, Dioxins and Furans. The company was founded in 1991 and had 79 employees.  The company sold the soil treatment "
Big Blue Bubble,"Big Blue Bubble, Inc. is a Canadian video game company headquartered in London, Ontario founded in 2004 by industry veteran Damir Slogar, Renata Slogar, and Claudette Critchley . The company has developed over one hundred games and gained international recognition with their game My Singing Monsters"
BigPark,BigPark was a Canadian video game developer owned by Microsoft Studios.
Biovail,"Biovail Corporation was a Canadian pharmaceutical company, operating internationally in all aspects of pharmaceutical products.  Its major production facility was located in Steinbach, Manitoba. It merged with Valeant Pharmaceuticals International in 2010."
BioWare,"BioWare is a Canadian video game developer based in Edmonton, Alberta. It was founded in 1995 by newly graduated medical doctors Ray Muzyka, Greg Zeschuk and Augustine Yip, alongside Trent Oster, Brent Oster, and Marcel Zeschuk. Since 2007, the company has been owned by American publisher Electronic"
Bison Transport,"Bison Transport is one of Canada's largest trucking companies.
Based in Winnipeg, Manitoba, Canada, Bison Transport was incorporated in 1969 by owner Duncan M. Jessiman. Bison has since grown from 18 tractors and 32 employees to over 2100 trucks and 6000 trailers with over 3700 employees and contrac"
Black Diamond Cheese,"Black Diamond Cheese Limited is a cheese manufacturing company in Canada.
Black Diamond employs approximately 470 people at its factory in Belleville, Ontario, and its products can be found at most major retailers in Canada. The company has been owned by Parmalat Canada (Lactalis Canada) since 1998."
Black Hen Music,"Black Hen Music is a Canadian independent record label founded in Vancouver, British Columbia in 1995. The music label was established by record producer and musician Steve Dawson of the band Zubot and Dawson. Black Hen Music began releasing albums in 1996 and is distributed in Canada by Fontana Nor"
Black Press,"Black Press Group Ltd. is a Canadian publisher of prominent daily newspapers in Hawaii and Ohio, and numerous non-daily newspapers in Alberta and British Columbia, Canada, and (via Sound Publishing) the U.S. state of Washington.
Black Press Media is headquartered in Surrey, British Columbia, and has"
Blacks Photo Corporation,"Blacks Photography, stylized as BLACKS (formerly Black's), is a Canadian online retailer of photo prints and personalized photo products, home decor items, and photofinishing services.  It is headquartered in Montreal, Quebec, Canada.
Prior to 2015, Blacks was a brick and mortar retail chain focusin"
BlackBerry Limited,"BlackBerry Limited is a Canadian software company specializing in cybersecurity. Originally known as Research In Motion (RIM), it developed the BlackBerry brand of interactive pagers, smartphones, and tablets. It transitioned to a cybersecurity enterprise software and services company under Chief Ex"
Blackburn Radio,"Blackburn Radio, Inc. is a Canadian radio broadcasting group, which owns several radio stations in Southwestern Ontario. Headquartered in London, Ontario, the company is owned by 2061302 Ontario Limited, which is majority owned by Cogent Investments.
The three Chatham stations were previously owned "
Blake Cassels & Graydon,"Blake, Cassels & Graydon LLP (Blakes) is an international corporate law firm with offices in Montreal, Ottawa, Toronto, Calgary, Vancouver, New York City, and London.
It has the strongest law firm brand in Canada according to the 2019 Acritas survey.[2]
It is a charter member in Lex Mundi, a referra"
Bleeding Art Industries,"Bleeding Art Industries is an entertainment production company focused on creative content production, special effects, custom fabrication, product sales, and equipment rentals. It is based out of Calgary, Canada. The company is known for its work in the film, television, performing arts, themed exh"
Blenz Coffee,"Blenz Coffee (officially Blenz The Canadian Coffee Company) is a Canadian franchise chain of coffee shops. The first shop was opened in Vancouver, British Columbia in 1992. The chain has since grown to include a network of franchised locations, 64 in British Columbia Canada."
Blue Giant Equipment Corporation,"Blue Giant Equipment Corporation is a loading dock equipment manufacturer with corporate headquarters in Toronto, Ontario, Canada."
Bluenotes,"Thrifty's Inc. (doing business as Bluenotes) is a Canadian ""lifestyle"" clothing brand. Bluenotes currently operates 120+ stores in Canada, across all major provinces, and it includes
an online store. Thrifty's' 107 stores were bought out by U.S. retailer American Eagle Outfitters from Dylex and rebr"
Boeing Canada,"Boeing Canada is the Canadian subsidiary of Boeing, with operations in Winnipeg, MB, Richmond, BC, Montreal, QC and Ottawa, ON. Boeing employs more than 1,600 people in Canada. Boeing Aircraft of Canada Limited was formed in 1929 by the American Boeing Airplane Company.In October 2008, Boeing Canada"
Bombardier Inc.,"Bombardier Inc. (French pronunciation: ​[bɔ̃baʁdje]) is a Canadian business jet manufacturer. It was also formerly a manufacturer of commercial jets, public transport vehicles, trains, and recreational vehicles, with the last being spun-off as Bombardier Recreational Products. The company originally"
Bombardier Recreational Products,"Bombardier Recreational Products Inc., operating as BRP, is a Canadian manufacturer of snowmobiles, all-terrain vehicles, motorcycles, and personal watercraft. It was founded in 2003, when the Recreational Products Division of Bombardier Inc. was spun-off and sold to a group of investors consisting "
Book City,Book City may refer to:
Boston Pizza,"Boston Pizza (BP), known as Boston's The Gourmet Pizza Restaurant and Sports Bar outside of Canada, is a Canadian multinational restaurant chain that owns and franchises locations in Canada, the United States and Mexico."
Boutique La Vie en Rose,"Boutique La Vie en Rose Inc. is a Canadian lingerie retailer headquartered in Montreal, Quebec. The brand produces and sells a range of undergarments, sleepwear, and swimwear aimed at women in the 25-55 age group. Since 2003, La Vie en Rose also offered underwear, sleepwear, loungewear and swimwear "
Bowring Brothers,"Bowring Brothers Ltd. (or simply Bowring) was a Canadian operator of retail stores, mostly focused on gifts and home decor, throughout Canada."
Bre-X,"Bre-X was a group of companies in Canada. Bre-X Minerals Ltd., a major part of Bre-X based in Calgary, was involved in a major gold mining scandal when it reported it was sitting on an enormous gold deposit at Busang, East Kalimantan, Indonesia. Bre-X bought the Busang site in March 1993 and in Octo"
Brick Brewing Company,"Waterloo Brewing LTD., formerly the Brick Brewing Company, is a brewery based in Kitchener, Ontario, Canada, with several divisions. Waterloo is reportedly the largest Canadian-owned brewer in the province, and it was also Ontario's first modern craft brewery.Waterloo's most successful brand is the "
Brightlight Pictures,"Brightlight Pictures Inc. is a Canadian film production and television production company based in Vancouver, British Columbia, Canada."
BrightSide Technologies,"BrightSide Technologies Inc. (formerly Sunnybrook Technologies) was a firm spun-out from the Structured Surface Physics Laboratory of the University of British Columbia, developing and commercializing electronic display technologies, specifically high brightness display technology called HDR. The pr"
Brookfield Asset Management,"Brookfield Asset Management Inc. is a Canadian multinational company that is one of the world's largest alternative investment management companies, with US$688 billion of assets under management in 2021. It focuses on direct control investments in real estate, renewable power, infrastructure, credi"
Bruce Power,"Bruce Power Limited Partnership is a Canadian business partnership composed of several corporations. It exists (as of 2015) as a partnership between TC Energy (31.6%), BPC Generation Infrastructure Trust (61.4%), the Power Workers Union (4%) and The Society of United Professionals (1.2%). It is the "
Brunet,"Brunet refers to a person (usually male) with brown hair (the female equivalent is brunette).
Brunet may also refer to:

Brunet (surname)
Brunet (pharmacy), a chain located in Quebec, Canada
Brunet, Alpes-de-Haute-Provence, a commune of the Alpes-de-Haute-Provence département, France
Brunet Castle, "
Buckley's,"W. K. Buckley Limited is a corporation operating in Canada that manufactures medicines for health problems such as the common cold. They also have children's medicine which are sold under the brand Jack & Jill. The company is located in Mississauga, Ontario. It is a subsidiary of Novartis.
The compa"
Buhler Industries,"Buhler Industries Inc. was established in 1969 when John Buhler purchased ""Standard Gas Engine Works"", which was founded in 1932. The company produced the Farm King line of grain augers, snowblowers, mowers and compact implements. Buhler Industries expanded in 1982 with the purchase of the Allied li"
Bullfrog Power,"Bullfrog Power, a Spark Power company, is a Canadian green energy retailer operating in Canada. Bullfrog offers green electricity from renewable energy sources such as wind and low-impact hydro, as well as green fuel and green natural gas, a renewable biogas product that serves as an alternative to "
Cactus Club Cafe,"Cactus Club Cafe is a Canadian-owned chain of premium casual restaurants that originated in North Vancouver, British Columbia. The chain has since expanded to 31 locations throughout Canada, with other locations throughout British Columbia, Alberta, Saskatchewan, and Ontario."
Cadillac Fairview,"The Cadillac Fairview Corporation Limited is a Canadian company that invests in, owns, and manages commercial real estate, mainly in Canada and the United States. As of March 2017, the company had 73 properties, encompassing 38 million square feet, worth over $29 billion.  As of September 2017, Cadi"
CAE Inc.,"CAE Inc. (formerly Canadian Aviation Electronics) is a Canadian manufacturer of simulation technologies, modelling technologies and training services to airlines, aircraft manufacturers, healthcare specialists, and defence customers.  CAE was founded in 1947, and has manufacturing operations and tra"
Calm Air,"Calm Air International LP. is a full service airline, offering passenger, charter and freight services in northern Manitoba and the Kivalliq Region of Nunavut. It is owned by Exchange Income Corporation with its main base in Winnipeg, Manitoba."
Cameco,"Cameco Corporation (formerly Canadian Mining and Energy Corporation) is the world's largest publicly traded uranium company, based in Saskatoon, Saskatchewan, Canada. In 2015, it was the world's second largest uranium producer, accounting for 18% of world production."
Canada Deposit Insurance Corporation,The Canada Deposit Insurance Corporation (CDIC; French: Société d'assurance-dépôts du Canada) is a Canadian federal Crown Corporation created by Parliament in 1967 to provide deposit insurance to depositors in Canadian commercial banks and savings institutions. CDIC insures Canadians' deposits held 
Canada Wide Media,"Canada Wide Media Limited is an independently owned publishing company in Western Canada, based in Burnaby, British Columbia."
Canadian Bank Note Company,"The Canadian Bank Note Company (CBNC) is a Canadian security printing company. It is best known for holding the contract with the Bank of Canada to supply it with Canada's banknotes since 1935. The company's other clients include private businesses, national and sub-national governments, central ban"
Canadian Broadcasting Corporation,"The Canadian Broadcasting Corporation (French: Société Radio-Canada), branded as CBC/Radio-Canada, is a Canadian public broadcaster for both radio and television. It is a federal Crown corporation funded by the government. The English- and French-language service units of the corporation are commonl"
Canadian Hydro Developers,"Canadian Hydro Developers, Inc. was a Canadian company that operated 12 hydroelectric power sites, eight wind power sites and one biomass power site in Canada.
Canadian Hydro was founded by two brothers John and Ross Keating with Jack McCleary.  In 1989 Canadian Hydro had secured $1.3 million in equ"
Canadian Imperial Bank of Commerce,"The Canadian Imperial Bank of Commerce (CIBC; French: Banque Canadienne Impériale de Commerce) is a Canadian multinational banking and financial services corporation headquartered at CIBC Square in the Financial District of Toronto, Ontario. CIBC's Institution Number (or bank number) is 010, and its"
Canadian Light Source,"The Canadian Light Source (CLS) (French: Centre canadien de rayonnement synchrotron – CCRS) is Canada's national synchrotron light source facility, located on the grounds of the University of Saskatchewan in Saskatoon, Saskatchewan, Canada. The CLS has a third-generation 2.9 GeV storage ring, and th"
Canadian National Railway,"The Canadian National Railway Company (French: Compagnie des chemins de fer nationaux du Canada) (reporting mark CN) is a Canadian Class I freight railway headquartered in Montreal, Quebec, which serves Canada and the Midwestern and Southern United States.
CN is Canada's largest railway, in terms of"
Canadian Natural Resources,"Canadian Natural Resources Limited, or CNRL or Canadian Natural is a senior Canadian oil and natural gas company that operates primarily in the Western Canadian provinces of British Columbia, 
Alberta, Saskatchewan, and Manitoba, with offshore operations in the United Kingdom sector of the North Sea"
Canadian Oil Sands,"Canadian Oil Sands Limited was a Canadian company that generates income from its oil sands investment in the Syncrude Joint Venture. Syncrude operated an oil sands facility and produced crude oil through the mining of oil sands from ore deposits in the Athabasca region of northern Alberta, Canada.
I"
Canadian Pacific Railway Limited,"The Canadian Pacific Railway (reporting marks CP, CPAA, MILW, SOO), also known simply as Canadian Pacific and formerly as CP Rail (1968–1996), is a Canadian Class I railway incorporated in 1881. The railway is owned by Canadian Pacific Railway Limited, which began operations as legal owner in a corp"
Canadian Plasma Resources,"Canadian Plasma Resources (CPR) is a private, for-profit bio-pharmaceutical company based in Saskatoon, Saskatchewan, Canada. It was founded in 2012 and specializes in the collection of source plasma for further manufacturing and contract-manufacturing of plasma-based bio-pharmaceuticals with operat"
Canadian Steamship Lines,"Canada Steamship Lines (CSL) is a shipping company with headquarters in Montreal, Quebec, Canada. The business has been operating for well over a century and a half."
Canadian Tire,"Canadian Tire Corporation, Limited is a Canadian retail company which operates in the automotive, hardware, sports, leisure and housewares sectors. Its Canadian operations include: Canadian Tire (including Canadian Tire Petroleum gas stations and financial services subsidiary Canadian Tire Bank), Ma"
Canadian Tire Bank,"Canadian Tire Services Ltd. (CTSL), doing business as Canadian Tire Bank (French: Banque Canadian Tire), is the financial services subsidiary of the Canadian Tire retail chain. The bank is based in Oakville, Ontario, and has additional business operations in St. Catharines and Welland (which are als"
Canadian Western Bank,"Canadian Western Bank (CWB; French: Banque canadienne de l'Ouest), also operating as CWB Financial Group, is a Canadian bank based in Edmonton, Alberta. The bank serves clients both in Western Canada and in other provinces.
The CWB Financial Group, and is made up of 10 banking, lending, wealth and t"
Canadian Wheat Board,"The Canadian Wheat Board (French: Commission canadienne du blé) was a marketing board for wheat and barley in Western Canada. Established by the Parliament of Canada on 5 July 1935, its operation was governed by the Canadian Wheat Board Act as a mandatory producer marketing system for wheat and barl"
Canalta Hotels,"Canalta Hotels is a hotel chain in western Canada with 44 hotels in Alberta, Saskatchewan and Manitoba.  The family owned company is based out of Drumheller and primarily targets smaller towns in Western Canada catering to sports teams, weddings, meetings and work crews.In addition to operating hote"
Candente Copper,"Candente Copper is developing its flagship project Cañariaco, within which Cañariaco Norte, is the 10th largest late-stage copper resource in the world (over 9B pounds copper, 2.1M ounces of gold and 59.4M ounces of silver Measured and Indicated*) and 6th highest in grade (RFC Ambrian, December 2021"
Cangene Corp.,"Cangene Corporation was a biopharmaceutical company based in Winnipeg, Manitoba, Canada. It was founded in 1984 and specialized in hyperimmunes, contract manufacturing, biopharmaceuticals and biodefense.  Cangene was 61% owned by Canadian pharmaceutical giant Apotex and was publicly listed on the TS"
CanJet,"CanJet was a Canadian low-cost air carrier headquartered in Enfield, Nova Scotia and based at Halifax International Airport. In addition to initially flying scheduled passenger service, CanJet operated charter flights using its own brand as well as flying contract and ad hoc charters for other tour "
Canpotex,"Canpotex, short for Canadian Potash Exporters (reporting mark PTEX), is a Canadian potash exporting and marketing firm, incorporated in 1970 and operating since 1972. Based in Saskatchewan, Canpotex manages the entire Saskatchewan potash exporting industry (excluding Canadian and US sales), includin"
Canucks Sports & Entertainment,"Canucks Sports & Entertainment, previously known as Orca Bay Sports & Entertainment, is a Canadian sports and entertainment company in Vancouver, British Columbia that owns and operates the Vancouver Canucks of the National Hockey League, the Vancouver Warriors of the National Lacrosse League, and t"
Canwest,"Canwest Global Communications Corporation, which operated under the corporate name Canwest, was a major Canadian media conglomerate based in Winnipeg, Manitoba, with its head offices at Canwest Place.  It held radio, television broadcasting and publishing assets in several countries, primarily in Ca"
Capcom Vancouver,"Capcom Game Studio Vancouver, Inc. (formerly Blue Castle Games Inc.), more commonly known as Capcom Vancouver, was a Canadian video game developer owned by Capcom with minority stake partnership by Microsoft Studios. As Blue Castle Games, the company was the creator of several successful baseball sp"
Cargill Ltd.,"Cargill Limited, also known as Cargill Canada, is the Canadian subsidiary of the Minneapolis-based multinational agribusiness giant Cargill. Depending on the source, it employs approximately 8,000 or 4,000 people across Canada.
It is involved in meat, egg, and oilseed processing, livestock feed, gra"
Casavant Frères,"Casavant Frères is a Canadian organ building company in Saint-Hyacinthe, Quebec, which has been building pipe organs since 1879. As of 2014, the company has produced more than 3,900 organs."
Cascades,"Cascades or The Cascades may refer to:

Cascades, a series of waterfalls"
Catalyst Paper,"Catalyst Paper Corporation is a pulp and paper company based in  Richmond, British Columbia. It operates five pulp mills and paper mills, producing a combined 1.8 million tonnes of paper and 491,000 tonnes of market pulp annually. The mills mostly produce magazine paper and newsprint.
The company wa"
Celestica,"Celestica Inc. is a Canadian multinational electronics manufacturing services (EMS) company headquartered in Toronto, Ontario."
Cellcom Communications,"Cellcom Communications or Cellcom is a telecommunications company based in Montreal, Quebec and the largest franchisee of Bell Canada & Bell Mobility in North America with 42 stores across Ontario and Greater Montreal Area."
Cenovus Energy,"Cenovus Energy Inc. (pronounced se-nō-vus) is an integrated oil and natural gas company headquartered in Calgary, Alberta.
Cenovus was formed in 2009 when Encana Corporation split into two distinct companies, with Cenovus becoming focused on oil sands assets.
In 2017, Cenovus purchased ConocoPhillip"
Centra Gas Manitoba Inc.,"Centra Gas Manitoba Inc., a subsidiary of Manitoba Hydro, is the primary distributor of natural gas in Manitoba, serving the Winnipeg and surrounding area, including rural communities. The company had a gas distribution monopoly in Manitoba until 1991.Based in Winnipeg, it is regulated by the Public"
Central Heat Distribution,"Creative Energy is a private district heating company. The company was founded on November 1, 1968, by group of engineers with a desire to lower heating bills for buildings (no boilers to buy and maintain) and to reduce the amount of pollution being created to provide heat downtown. In 2014, Central"
Central Mountain Air,"Central Mountain Air Ltd. is a Canadian regional airline based in Smithers, British Columbia. It operates scheduled, charter, and transborder services. Its main base is Smithers Airport, with other bases at Calgary International Airport and Vancouver International Airport."
CGI Group,"CGI Inc., also known as CGI Group Inc., is a Canadian multinational information technology (IT) consulting and systems integration company headquartered in Montreal, Quebec, Canada. The company went public in 1986 with a primary listing on the Toronto Stock Exchange. CGI is also a constituent of the"
Chapters,Chapter or Chapters may refer to:
CHC Helicopter,"CHC Helicopter is a large helicopter services company, specializing in the following services:

Transportation to offshore oil and gas platforms
Civilian search and rescue and air medical evacuation services
Helicopter maintenance repair and overhaulCHC Helicopter maintains it global headquarters in"
Choices Market,"Choices Markets is a grocer based in British Columbia, Canada, that is focused on natural, specialty and organic food.
The chain has ten stores: eight in Metro Vancouver, one in the Fraser Valley and one location in Kelowna. Choices Markets opened its 10th location, North Vancouver, in the second qu"
Chrysler Canada,"FCA Canada, Inc., formerly Chrysler Canada, is the wholly owned subsidiary of Stellantis through its North American division operating in Canada. Incorporated in 1925, the Chrysler Corporation of Canada acquired a Maxwell-Chalmers plant in Windsor, Ontario that had been used to manufacture some Chry"
